ScientificName
Cornus sanguinea
Acer saccharinum
Acer tataricum
Corylus colurna
Corylus maxima
Acer freemanii
Crataegus grignonensis
Crataegus laevigata
Crataegus crus-galli
Crataegus monogyna
Crataegus persimilis
Zelkova serrata
Crataegus punctata
Physocarpus opulifolius
Crataemespilus grandiflora
Cryptomeria japonica
Malus baccata
Mahonia aquifolium
Syringa vulgaris
Cyclocarya paliurus
Cydonia oblonga
Davidia involucrata
Diospyros kaki
Diospyros lotus
Disanthus cercidifolius
Edgeworthia chrysantha
Elaeagnus angustifolia
Eleutherococcus sieboldianus
Eucommia ulmoides
Euonymus europaeus
Euptelea polyandra
Chaenomeles superba
Fagus sylvatica subsp. orientalis
Quercus rhysophylla
Ficus carica
Fraxinus americana
Taxodium distichum
Magnolia campbellii
Fraxinus biltmoreana
Fraxinus bungeana
Fraxinus ornus
Thuja plicata
Crataegus pinnatifida
Gymnocladus dioicus
Halesia carolina
Hamamelis japonica
Sorbus thuringiaca
Styrax japonicus
Ilex altaclerensis
Ilex aquifolium
Viburnum bodnantense
Ilex pernyi
Ilex verticillata
Juglans nigra
Cupressus sempervirens
Koelreuteria paniculata
Laburnum alpinum
Laburnum anagyroides
Quercus pubescens
Laburnum watereri
Lagerstroemia indica
Larix decidua
Larix gmelinii
Larix kaempferi
Lespedeza thunbergii
Leycesteria formosa
Liquidambar formosana
Thuja occidentalis
Liriodendron chinense
Liriodendron tulipifera
Maackia amurensis
Magnolia liliiflora
Acer davidii
Aesculus carnea
Magnolia dawsoniana
Magnolia grandiflora
Magnolia hypoleuca
Magnolia kobus
Magnolia x soulangeana
Magnolia stellata
Platanus orientalis
Berberis japonica
Acer pseudoplatanus
Salix alba
Crataegus media
Betula ermanii
Pinus nigra
Quercus robur
Populus nigra
Cupressus arizonica
Exochorda serratifolia
Hippophae salicifolia
Sorbus intermedia
Populus tremula
Malus floribunda
Malus hupehensis
Malus sieboldii
Mespilus germanica
Metasequoia glyptostroboides
Hydrangea paniculata
Nothofagus antarctica
Nyssa sylvatica
Oemleria cerasiformis
Olea europaea
Alnus spaethii
Osmanthus burkwoodii
Osmanthus heterophyllus
Ostrya carpinifolia
Parrotiopsis jacquemontiana
Paulownia tomentosa
Phellodendron japonicum
Philadelphus x lemoinei
Stranvaesia davidiana
Picea abies
Picea breweriana
Picea omorika
Picea orientalis
Picrasma quassioides
Pinus parviflora
Pinus peuce
Pinus strobus
Pinus sylvestris
Pinus wallichiana
Platanus x hispanica
Platanus occidentalis
Magnolia brooklynensis
Platycladus orientalis
Podocarpus nivalis
Citrus trifoliata
Populus alba
Populus balsamifera
Populus x canadensis
Populus tremula x Populus alba
Populus szechuanica
Prunus subhirtella
Populus trichocarpa
Acer opalus
Tamarix ramosissima
Prunus cerasus
Prunus cistena
Robinia ambigua
Chamaecyparis obtusa
Acer japonicum
Juglans ailantifolia
Prunus mahaleb
Cupressocyparis leylandii
Prunus schmittii
Prunus serotina
Quercus rubra
Prunus virginiana
Kalopanax septemlobus
Ptelea trifoliata
Pterocarya stenoptera
Pterostyrax hispidus
Acer saccharum
Malus Hopa
Pyrus amygdaliformis
Pyrus salicifolia
Quercus bicolor
Ceanothus griseus
Quercus cerris
Hibiscus syriacus
Quercus coccifera
Quercus dentata
Quercus ellipsoidalis
Quercus frainetto
Quercus glauca
Quercus ilex
Quercus imbricaria
Quercus palustris
Quercus petraea
Alnus subcordata
Quercus phellos
Salix gracilistyla
Prunus eminens
Fraxinus angustifolia
Juniperus chinensis
Quercus serrata
Quercus suber
Quercus variabilis
Quercus velutina
Rhamnus cathartica
Magnolia acuminata
Rhus typhina
Toxicodendron vernicifluum
Tilia platyphyllos
Sequoiadendron giganteum
Salix alba
Quercus hispanica
Cedrus libani
Salix babylonica
Salix caprea
Salix cinerea
Salix daphnoides
Ulmus minor
Salix magnifica
Salix pentandra
Salix viminalis
Sassafras albidum
Sequoia sempervirens
Prunus dulcis
Sorbus pohuashanensis
Sorbus aucuparia
Sorbus commixta
Sorbus hupehensis
Malus Makamik
Sorbus sargentiana
Taxodium distichum
Sorbus cuspidata
Staphylea colchica
Stewartia monadelpha
Stewartia pseudocamellia
Stewartia rostrata
Stewartia sinensis
Styphnolobium japonicum
Styrax confusus
Symplocos paniculata
Ulmus New Horizon
Syringa persica
Ilex aquifolium
Taxus canadensis
Cupressus macrocarpa
Tetradium daniellii
Thujopsis dolabrata
Tilia americana
Tilia americana x Tilia x moltkei
Quercus castaneifolia
Tilia x europaea
Tilia kiusiana
Tilia mongolica
Viburnum tinus
Trachycarpus fortunei
Ulmus camperdownii
Sorbus hybrida
Ulmus glabra
Ulmus hollandica
Catalpa x erubescens
Ulmus laevis
Cornus kousa
Ulmus pumila
Salix x sepulcralis
Zanthoxylum piperitum
